prn      pid            ids                                        names                                                                       c
675271   CHEMBL1201320  CHEMBL1201320,CHEMBL2146133                ESOMEPRAZOLE,OMEPRAZOLE,ESOMEPRAZOLE MAGNESI,NEXIUM (ESOMEPRAZOLE           4
675273   CHEMBL1201322  CHEMBL1201322,CHEMBL1200883                THONZONIUM,THONZONIUM BROMIDE                                               2
675274   CHEMBL1201323  CHEMBL1201323,CHEMBL1200949,CHEMBL4303510  BETAZOLE,BETAZOLE HYDROCHLORI                                               3
675286   CHEMBL1201335  CHEMBL1201027,CHEMBL1201335                GLYCOPYRROLATE,GLYCOPYRROLATE BROMI                                         3
675287   CHEMBL1201336  CHEMBL1201336,CHEMBL919                    FOSPHENYTOIN,FOSPHENYTOIN DISODIU                                           2
675291   CHEMBL1201340  CHEMBL1201340,CHEMBL1200880                DIPHEMANIL,DIPHEMANIL METHYLSUL                                             3
675293   CHEMBL1201342  CHEMBL1201342,CHEMBL2359044                METIXENE,METIXENE HYDROCHLORI                                               3
675297   CHEMBL1201346  CHEMBL1201346,CHEMBL1200760                BALSALAZIDE,BALSALAZIDE DISODIUM                                            2
675307   CHEMBL1201356  CHEMBL1201356,CHEMBL1200843                METHYLERGONOVINE,METHYLERGOMETRINE,METHYLERGOMETRINE MA                     3
675704   CHEMBL1201753  CHEMBL1201753,CHEMBL1237061                PITAVASTATIN,PITAVASTATIN CALCIUM                                           3
675709   CHEMBL1201758  CHEMBL1201758,CHEMBL1201759                BEPOTASTINE,BEPOTASTINE BESILATE                                            2
675711   CHEMBL1201760  CHEMBL1201760,CHEMBL1201761                BESIFLOXACIN,BESIFLOXACIN HCL (BE,BESIFLOXACIN HYDROCH                      3
675715   CHEMBL1201764  CHEMBL1201764,CHEMBL1201765                FESOTERODINE,FESOTERODINE FUMARAT                                           2
675725   CHEMBL1201774  CHEMBL1201774,CHEMBL1201775                SAPROPTERIN,SAPROPTERIN DIHYDROC                                            3
675735   CHEMBL1201784  CHEMBL1201784,CHEMBL1201785                HEXAMINOLEVULINATE,HEXAMINOLEVULINATE (                                     2
20027    CHEMBL121      CHEMBL121,CHEMBL843,CHEMBL1704605          ROSIGLITAZONE,ROSIGLITAZONE MALEAT,ROSIGLITAZONE HYDROC                     3
219334   CHEMBL1215     CHEMBL1215,CHEMBL1200339                   PHENYLEPHRINE,L-PHENYLEPHRINE HYDR                                          2
222203   CHEMBL1219     CHEMBL1219,CHEMBL1200930,CHEMBL4303515     RABEPRAZOLE,RABEPRAZOLE (SODIUM),RABEPRAZOLE SODIUM S                       3
228121   CHEMBL1229     CHEMBL1229,CHEMBL1200340                   OSELTAMIVIR,OSELTAMIVIR PHOSPHAT                                            3
229058   CHEMBL1231     CHEMBL1231,CHEMBL1133                      OXYBUTYNIN,OXYBUTYNIN CHLORIDE                                              3
10519    CHEMBL12344    CHEMBL12344,CHEMBL4303185                  DIMAPRIT,DIMAPRIT DIHYDROCHLO                                               2
697885   CHEMBL1235535  CHEMBL1235535,CHEMBL1324760                NICOTINYL ALCOHOL,NICOTINYL ALCOHOL TA                                      2
698745   CHEMBL1236395  CHEMBL1236395,CHEMBL3188936                TREHALOSE,TREHALOSE DIHYDRATE                                               2
204823   CHEMBL123693   CHEMBL123693,CHEMBL3560769                 TUAMINOHEPTANE,TUAMINOHEPTANE SULFA                                         2
230659   CHEMBL1237     CHEMBL1237,CHEMBL419213                    LISINOPRIL                                                                  3
699372   CHEMBL1237021  CHEMBL1237021,CHEMBL1615372                LURASIDONE,LURASIDONE HCL                                                   2
699469   CHEMBL1237118  CHEMBL1237118,CHEMBL1237110                DOLASETRON,DOLASETRON MESILATE                                              2
700190   CHEMBL1240977  CHEMBL1240977,CHEMBL4303678                OXANTEL PAMOATE                                                             2
700191   CHEMBL1240978  CHEMBL1330312,CHEMBL1445794                MORANTEL CITRATE,MORANTEL TARTRATE                                          2
231013   CHEMBL1241     CHEMBL1241,CHEMBL1200769,CHEMBL1200446     TRIPELENNAMINE,TRIPELENNAMINE CITRA,TRIPELENNAMINE HYDRO                    3
231062   CHEMBL1242     CHEMBL1242,CHEMBL1201022                   PHENAZOPYRIDINE,PHENAZOPYRIDINE HYDR                                        3
704148   CHEMBL1254682  CHEMBL1254682,CHEMBL2062276                LEVALLORPHAN,LEVALLORPHAN TARTRAT                                           2
705778   CHEMBL1256786  CHEMBL1256786,CHEMBL3989798                FORMOTEROL                                                                  2
706010   CHEMBL1257015  CHEMBL1257015,CHEMBL1317747                PICOTAMIDE,PICOTAMIDE MONOHYDRA                                             3
209510   CHEMBL126075   CHEMBL126075,CHEMBL1256327,CHEMBL1603820   DILAZEP,DILAZEP DIHYDROCHLOR                                                3
242303   CHEMBL1262     CHEMBL1262,CHEMBL1200836                   OXICONAZOLE,OXICONAZOLE NITRATE                                             3
242716   CHEMBL1263     CHEMBL1263,CHEMBL1082607                   SALMETEROL,SALMETEROL (XINAFOAT                                             3
245084   CHEMBL1266     CHEMBL1266,CHEMBL1200413                   TETRAHYDROZOLINE,TETRAHYDROZOLINE HYD                                       2
247401   CHEMBL1271     CHEMBL1271,CHEMBL1318287                   PENTOLINIUM,PENTOLINIUM BITARTRA                                            3
209565   CHEMBL127643   CHEMBL127643,CHEMBL1533364                 DIMETHISOQUIN,DIMETHISOQUIN HYDROC                                          3
250297   CHEMBL1278     CHEMBL1278,CHEMBL1200601                   NARATRIPTAN,NARATRIPTAN HCL                                                 2
250328   CHEMBL1279     CHEMBL1279,CHEMBL2138684,CHEMBL1200371     FROVATRIPTAN,FROVATRIPTAN SUCCINA                                           3
27111    CHEMBL128      CHEMBL128,CHEMBL1201150                    SUMATRIPTAN,SUMATRIPTAN SUCCINAT                                            3
715513   CHEMBL1289110  CHEMBL1289110,CHEMBL2361572                TIANEPTINE,TIANEPTINE (SODIUM S                                             2
716415   CHEMBL1290003  CHEMBL1900758,CHEMBL1290003                GRANISETRON HYDROCHL,GRANISETRON                                            2
255477   CHEMBL1294     CHEMBL1294,CHEMBL1200437,CHEMBL1435413     QUINIDINE,QUINIDINE GLUCONATE,QUINIDINE HYDROCHLOR                          3
255508   CHEMBL1295     CHEMBL1295,CHEMBL1200398                   BUTOCONAZOLE,BUTOCONAZOLE NITRATE                                           2
209597   CHEMBL129529   CHEMBL129529,CHEMBL3142544                 BUTACAINE,BUTACAINE SULFATE                                                 3
255510   CHEMBL1296     CHEMBL1200589,CHEMBL4303232                CEFOTIAM HYDROCHLORI,CEFOTIAM (HYDROCHLOR,CEFOTIAM HEXETIL HYD              4
255534   CHEMBL1297     CHEMBL1297,CHEMBL2103736                   FENOPROFEN,FENOPROFEN CALCIUM S                                             3
789      CHEMBL13       CHEMBL2062335,CHEMBL3186768                METOPROLOL TARTRATE,METOPROLOL-(+)-TARTR                                    2
258709   CHEMBL1305     CHEMBL1305,CHEMBL1200550,CHEMBL1256819     ANTAZOLINE,ANTAZOLINE PHOSPHATE,ANTAZOLINE HYDROCHLO                        3
267163   CHEMBL1323     CHEMBL1323,CHEMBL1201127                   DARUNAVIR,DARUNAVIR ETHANOLATE                                              4
752782   CHEMBL1328898  CHEMBL1328898,CHEMBL1255756                MELEVODOPA                                                                  2
756855   CHEMBL1332971  CHEMBL1332971,CHEMBL4303711                CLONIXIN,CLONIXIN LYSINATE                                                  2
276734   CHEMBL1336     CHEMBL1336,CHEMBL1200485                   SORAFENIB,SORAFENIB TOSYLATE                                                2
27609    CHEMBL134      CHEMBL134,CHEMBL1705                       CLONIDINE,CLONIDINE HYDROCHLOR                                              3
291960   CHEMBL1346     CHEMBL1346,CHEMBL1200935                   DARIFENACIN,DARIFENACIN HYDROBRO                                            3
297372   CHEMBL1349     CHEMBL1349,CHEMBL1201110                   VALACICLOVIR,VALACYCLOVIR HYDROCH                                           3
229088   CHEMBL136497   CHEMBL136497,CHEMBL1712923                 IRSOGLADINE,IRSOGLADINE MALEATE                                             3
795654   CHEMBL1371770  CHEMBL1371770,CHEMBL1865834                PIRIBEDIL                                                                   3
320522   CHEMBL1377     CHEMBL1377,CHEMBL1201059                   CHLOROGUANIDE,CHLOROGUANIDE HYDROC,PROGUANIL HYDROCHLOR                     3
320810   CHEMBL1378     CHEMBL3989478,CHEMBL1200856                THIETHYLPERAZINE,THIETHYLPERAZINE MAL                                       2
321707   CHEMBL1380     CHEMBL1200619,CHEMBL4303288                ABACAVIR HEMISULFATE,ABACAVIR SULFATE                                       3
321964   CHEMBL1382     CHEMBL1382,CHEMBL1722209,CHEMBL1200871     TOLTERODINE,TOLTERODINE TARTRATE                                            3
231313   CHEMBL138297   CHEMBL138297,CHEMBL4303631                 TETRAETHYLENEPENTAMI                                                        2
29890    CHEMBL139      CHEMBL139,CHEMBL1034                       DICLOFENAC,DICLOFENAC SODIUM                                                3
334337   CHEMBL1397     CHEMBL1397,CHEMBL4303216                   POSACONAZOLE,POSACONAZOLE HYDRATE                                           3
341382   CHEMBL1404     CHEMBL1404,CHEMBL1526084                   RANOLAZINE,RANOLAZINE DIHYDROCH                                             3
831827   CHEMBL1407943  CHEMBL1407943,CHEMBL1256817                CLEMIZOLE HYDROCHLOR                                                        2
353011   CHEMBL1413     CHEMBL1413,CHEMBL242580                    CICLOPIROX,CICLOPIROX OLAMINE,CICLOPIROX ETHANOLAM                          3
358192   CHEMBL1419     CHEMBL1419,CHEMBL3989830,CHEMBL1200765     SIBUTRAMINE,SIBUTRAMINE (HYDROCH,SIBUTRAMINE HYDROCHL                       3
359778   CHEMBL1420     CHEMBL748,CHEMBL1420,CHEMBL2104739         PRALIDOXIME-CHLORIDE,PRALIDOXIME,PRALIDOXIME MESYLATE,PRALIDOXIME CHLORIDE  4
237007   CHEMBL142635   CHEMBL142635,CHEMBL1593765                 NAFTOPIDIL,NAFTOPIDIL DIHYDROCH                                             3
369464   CHEMBL1431     CHEMBL1431,CHEMBL1703                      METFORMIN,METFORMIN HYDROCHLOR                                              3
371546   CHEMBL1433     CHEMBL1433,CHEMBL3989740,CHEMBL1256723     DOXYCYCLINE,DOXYCYCLINE-HYCLATE,DOXYCYCLINE HYDROCHL                        4
857245   CHEMBL1433361  CHEMBL1433361,CHEMBL2103773                OTILONIUM,OTILONIUM BROMIDE                                                 2
371561   CHEMBL1434     CHEMBL1434,CHEMBL1200881                   MINOCYCLINE,MINOCYCLINE HYDROCHL                                            2
371655   CHEMBL1436     CHEMBL1436,CHEMBL2146124                   CEFUROXIME,CEFUROXIME SODIUM,CEFUROXIME SODIUM SA                           3
374064   CHEMBL1443     CHEMBL1200344,CHEMBL1568276                NAFCILLIN SODIUM,NAFCILLIN SODIUM SAL                                       2
384948   CHEMBL1454     CHEMBL1454,CHEMBL1770                      LEVAMISOLE,TETRAMIZOLE HYDROCHL,LEVAMISOLE HYDROCHLO                        4
244737   CHEMBL146095   CHEMBL146095,CHEMBL1572751                 GLAFENINE,GLAFENINE HYDROCHLOR                                              2
397873   CHEMBL1469     CHEMBL1469,CHEMBL1746                      PHENYLBUTYRATE,SODIUM PHENYLBUTYRAT                                         2
896859   CHEMBL1472975  CHEMBL1472975,CHEMBL1713496                PEROSPIRONE,PEROSPIRONE HYDROCHL                                            3
898773   CHEMBL1474889  CHEMBL1474889,CHEMBL3183114                CLOBUTINOL,CLOBUTINOL HYDROCHLO                                             2
898784   CHEMBL1474900  CHEMBL1474900,CHEMBL1436121                OLPRINONE,OLPRINONE (HYDROCHLO                                              2
406520   CHEMBL1482     CHEMBL1482,CHEMBL1768                      BETHANECHOL,BETHANECHOL CHLORIDE                                            3
407549   CHEMBL1484     CHEMBL1484,CHEMBL1200326                   NICARDIPINE,NICARDIPINE HYDROCHL                                            2
418411   CHEMBL1490     CHEMBL1490,CHEMBL1092                      TRIHEXYPHENIDYL,TRIHEXYPHENIDYL HYDR,TRIHEXYPHENIDYL-D,L                    3
418414   CHEMBL1491     CHEMBL1200402,CHEMBL1491                   AMLODIPINE BESYLATE,AMLODIPINE                                              2
418482   CHEMBL1492     CHEMBL1492,CHEMBL1564                      DIPHENYLPYRALINE,DIPHENYLPYRALINE HYD                                       3
916384   CHEMBL1492500  CHEMBL1492500,CHEMBL1711280                DOSULEPIN,DOSULEPIN HYDROCHLOR                                              3
418484   CHEMBL1493     CHEMBL1493,CHEMBL1200875                   FLAVOXATE,FLAVOXATE HCL,FLAVOXATE HYDROCHLOR                                3
418845   CHEMBL1496     CHEMBL1496,CHEMBL1744447                   ROSUVASTATIN,ROSUVASTATIN CALCIUM                                           3
924160   CHEMBL1500276  CHEMBL1500276,CHEMBL2354637                OXELADIN,OXELAIDIN CITRATE,OXELADIN CITRATE                                 3
419598   CHEMBL1502     CHEMBL1502,CHEMBL1200408                   PANTOPRAZOLE,PANTOPRAZOLE (SODIUM,PANTOPRAZOLE SODIUM                       3
420985   CHEMBL1505     CHEMBL1505,CHEMBL1200521                   ALMOTRIPTAN,ALMOTRIPTAN MALATE (                                            2
421007   CHEMBL1508     CHEMBL1200322,CHEMBL1508                   (R)-CITALOPRAM OXALA,ESCITALOPRAM,CITALOPRAM,ESCITALOPRAM OXALATE           5
421034   CHEMBL1510     CHEMBL1510,CHEMBL1201003                   ELETRIPTAN                                                                  3
939331   CHEMBL1515447  CHEMBL1515447,CHEMBL4303570                HOMOCHLORCYCLIZINE.2,HOMOCHLORCYCLIZINE D                                   2
421157   CHEMBL1517     CHEMBL1517,CHEMBL1892210                   OXYTETRACYCLINE,OXYTETRACYCLINE DIHY                                        2
421326   CHEMBL1520     CHEMBL1520,CHEMBL1339                      VARDENAFIL,VARDENAFIL HYDROCHLO                                             3
254380   CHEMBL152408   CHEMBL152408,CHEMBL1523827                 PIMETHIXENE,PIMETHIXENE MALEATE                                             3
430506   CHEMBL1537     CHEMBL1537,CHEMBL1201041                   AZLOCILLIN,AZLOCILLIN SODIUM,AZLOCILLIN SODIUM SA                           3
430522   CHEMBL1538     CHEMBL1486,CHEMBL1538                      TENOFOVIR DISOPROXIL                                                        3
433015   CHEMBL1544     CHEMBL1544,CHEMBL1201119                   LIOTHYRONINE,LIOTHYRONINE (L- ISO                                           3
437211   CHEMBL1547     CHEMBL1547,CHEMBL1200941                   THIAMINE,THIAMINE HYDROCHLORI                                               3
979620   CHEMBL1555736  CHEMBL1555736,CHEMBL1316965                ETHAVERINE,ETHAVERINE HYDROCHLO                                             3
263558   CHEMBL157138   CHEMBL1257128,CHEMBL157138                 LISURIDE MALEATE,LISURIDE (S)(-)                                            2
453520   CHEMBL1572     CHEMBL1572,CHEMBL3989829                   NETILMICIN,NETILMICIN SULFATE                                               2
255776   CHEMBL157337   CHEMBL157337,CHEMBL1567296                 RAMIFENAZONE,ISOPYRIN HYDROCHLORI                                           2
453579   CHEMBL1581     CHEMBL1200343,CHEMBL1581                   PERINDOPRIL ERBUMINE,PERINDOPRIL                                            2
453719   CHEMBL1583     CHEMBL1583,CHEMBL1200965                   BACAMPICILLIN,BACAMPICILLIN HYDROC                                          3
71516    CHEMBL159      CHEMBL159,CHEMBL378544                     VINBLASTINE,VINBLASTINE (SULFATE                                            2
454141   CHEMBL1592     CHEMBL1592,CHEMBL1201011                   QUINAPRIL,QUINAPRIL HYDROCHLOR                                              3
1022492  CHEMBL1598608  CHEMBL1598608,CHEMBL4303332                Y-25130 HYDROCHLORID,AZASETRON HCL,AZASETRON HYDROCHLOR                     3
454446   CHEMBL1599     CHEMBL3989837,CHEMBL1201043                CEPHAPIRIN BENZATHIN,CEPHAPIRIN SODIUM                                      2
921      CHEMBL16       CHEMBL16,CHEMBL1611                        PHENYTOIN,PHENYTOIN SODIUM                                                  2
454514   CHEMBL1601     CHEMBL1601,CHEMBL1201005                   CEFONICID,CEFONICID (SODIUM)                                                2
454576   CHEMBL1604     CHEMBL1604,CHEMBL4303427                   CEFRADINE,CEPHRADINE MONOHYDRA                                              2
83724    CHEMBL161      CHEMBL161,CHEMBL3183968                    CEFTRIAXONE,CEFTRIAXONE SODIUM T                                            2
1038389  CHEMBL1615438  CHEMBL1615438,CHEMBL1237102                LEVOCABASTINE,LEVOCABASTINE HYDROC                                          3
1040349  CHEMBL1617398  CHEMBL1733447,CHEMBL3561935                FLUNIXIN-MEGLUMIN,FLUNIXIN MEGLUMINE                                        3
1040969  CHEMBL1618018  CHEMBL1618018,CHEMBL1319362                HOMATROPINE,HOMATROPINE BROMIDE,(R,S) HOMATROPINE HY                        3
1042479  CHEMBL1619528  CHEMBL1619528,CHEMBL1401367                PIPENZOLATE,PIPENZOLATE BROMIDE                                             3
1043745  CHEMBL1620794  CHEMBL1620794,CHEMBL1439099                NAFRONYL,NAFRONYL OXALATE                                                   2
