ref  prn      pid            pname                        id                                               name                                                                      value          ave     cut    psmile                                                                                                                                                                                        
EH   257016   CHEMBL1301     HYDROXYSTILBAMIDINE          CHEMBL1301                                       HYDROXYSTILBAMIDINE                                                       0.4886,50.16   4.985   8.25   N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2O)cc1                                                                                                                                                        
ET   70239    CHEMBL869      NITROFURAZONE                CHEMBL869                                        NITROFURAL,NITROFURAZONE                                                  0.9359,87.32   5.44    7.73   NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1                                                                                                                                                             
EH   150436   CHEMBL93298    AROTINOLOL                   CHEMBL93298,CHEMBL3185966                        AROTINOLOL,AROTINOLOL HYDROCHLO                                           0.3775,56.03   5.61    7.16   CC(C)(C)NCC(O)CSc1nc(-c2ccc(C(N)=O)s2)cs1                                                                                                                                                     
ET   4634     CHEMBL267930   SPIPERONE                    CHEMBL267930,CHEMBL1256875                       SPIPERONE                                                                 1.086,56.91    5.655   7.02   O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1                                                                                                                                               
EH   138698   CHEMBL314010   BEVANTOLOL                   CHEMBL314010,CHEMBL2106060                       BEVANTOLOL,BEVANTOLOL HCL                                                 0.3675,57.84   5.675   6.86   COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC                                                                                                                                                           
EH   1277553  CHEMBL1946170  REGORAFENIB                  CHEMBL1946170                                    REGORAFENIB (BAY 73-,REGORAFENIB                                          91.47,0.2806   5.835   9.23   CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1                                                                                                                                  
HT   10099    CHEMBL275742   DEXPROPRANOLOL               CHEMBL275742,CHEMBL1358662                       DEXPROPRANOLOL,(R) PROPRANOLOL HYDR,PROPRANOLOL-(R)                       0.4686,0.866   5.875   9.78   CC(C)NC[C@@H](O)COc1cccc2ccccc12                                                                                                                                                              
ET   36864    CHEMBL727      THIOGUANINE                  CHEMBL727                                        TIOGUANINE,6-THIOGUANINE                                                  99.92,0.8322   5.925   10.83  Nc1nc2[nH]cnc2c(=S)[nH]1                                                                                                                                                                      
EH   33589    CHEMBL25202    TAMIBAROTENE                 CHEMBL25202                                      TAMIBAROTENE                                                              0.3232,67.6    5.925   6.15   CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21                                                                                                                                              
EH   100929   CHEMBL305380   BUPRANOLOL                   CHEMBL305380                                     BUPRANOLOL                                                                0.4669,43.82   6.045   10.0   Cc1ccc(Cl)c(OCC(O)CNC(C)(C)C)c1                                                                                                                                                               
EH   338934   CHEMBL1401     NITAZOXANIDE                 CHEMBL1401                                       NITAZOXANIDE                                                              0.4584,43.61   6.195   10.05  CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1                                                                                                                                                    
EH   397524   CHEMBL231779   APIXABAN                     CHEMBL231779                                     APIXABAN                                                                  0.2748,87.64   6.5     9.9    COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1                                                                                                                                  
HT   33307    CHEMBL24778    SILODOSIN                    CHEMBL24778                                      SILODOSIN                                                                 0.3783,0.8702  6.76    9.58   C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F                                                                                                                                  
EH   35358    CHEMBL27577    SALICYLAMIDE                 CHEMBL27577                                      SALICYLAMIDE                                                              0.3054,58.7    6.965   7.26   NC(=O)c1ccccc1O                                                                                                                                                                               
ET   663629   CHEMBL1189679  PALONOSETRON                 CHEMBL1720                                       PALONOSETRON HYDROCH,PALONOSETRON HCL                                     0.9614,57.4    7.04    7.13   O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2                                                                                                                                                  
EH   1378192  CHEMBL2105922  ACEXAMIC ACID                CHEMBL2105922                                    ACEXAMIC ACID,ACEXAMIC-ACID                                               0.3113,55.22   7.11    7.27   CC(=O)NCCCCCC(=O)O                                                                                                                                                                            
HT   674828   CHEMBL1200877  FLUMETHASONE PIVALATE        CHEMBL1200877                                    FLUMETHASONE-PIVALAT,FLUMETHASONE PIVALAT                                 0.4081,0.7756  7.88    12.62  C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)C(C)(C)C                                                                                   
ET   1238958  CHEMBL1898387  MEXENONE                     CHEMBL1898387                                    MEXENONE,MEXENEONE                                                        0.9765,46.56   7.905   9.14   COc1ccc(C(=O)c2ccc(C)cc2)c(O)c1                                                                                                                                                               
EH   1377881  CHEMBL2105611  TACALCITOL                   CHEMBL2105611                                    TACALCITOL                                                                0.4469,33.97   7.985   13.33  C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CC[C@@H](O)C(C)C)C[C@@H](O)C[C@@H]1O                                                                                                        
ET   66687    CHEMBL46469    ANTHRALIN                    CHEMBL46469                                      ANTHRALIN                                                                 1.184,33.1     8.115   13.72  O=C1c2c(O)cccc2Cc2cccc(O)c21                                                                                                                                                                  
HT   180370   CHEMBL324665   CARAZOLOL                    CHEMBL324665                                     CARAZOLOL                                                                 0.4815,0.7194  8.19    14.53  CC(C)NCC(O)COc1cccc2[nH]c3ccccc3c12                                                                                                                                                           
EH   388819   CHEMBL231068   FLIBANSERIN                  CHEMBL231068                                     FLIBANSERIN                                                               0.2785,56.47   8.25    9.41   O=c1[nH]c2ccccc2n1CCN1CCN(c2cccc(C(F)(F)F)c2)CC1                                                                                                                                              
EH   29005    CHEMBL680      CEFACLOR                     CHEMBL680,CHEMBL1201018,CHEMBL680                CEFACLOR,CEFACLOR HYDRATE,LORACARBEF                                      0.3978,34.21   8.265   13.21  N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1                                                                                                                                 
EH   649637   CHEMBL1171837  PONATINIB                    CHEMBL1171837                                    PONATINIB,PONATINIB (AP24534)                                             0.5086,29.77   8.37    15.45  Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12                                                                                                                             
EH   1379092  CHEMBL2106822  NIZOFENONE                   CHEMBL2106822                                    NIZOFENONE,NIZOFENONE FUMARATE                                            0.2727,58.39   8.45    10.09  CCN(CC)Cc1nccn1-c1ccc([N+](=O)[O-])cc1C(=O)c1ccccc1Cl                                                                                                                                         
EH   237007   CHEMBL142635   NAFTOPIDIL                   CHEMBL142635,CHEMBL1593765                       NAFTOPIDIL,NAFTOPIDIL DIHYDROCH                                           90.58,0.2462   8.555   14.45  COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1                                                                                                                                                     
HT   1226203  CHEMBL1885632  ACTARIT                      CHEMBL1885632                                    ACTARIT                                                                   0.9755,0.2693  8.75    10.76  CC(=O)Nc1ccc(CC(=O)O)cc1                                                                                                                                                                      
EH   657555   CHEMBL1183605  CETRIMONIUM                  CHEMBL1183605,CHEMBL307346                       CETRIMONIUM,CETRIMONIUM BROMIDE                                           0.2709,55.06   8.89    10.46  CCCCCCCCCCCCCCCC[N+](C)(C)C                                                                                                                                                                   
HT   139237   CHEMBL314437   MEPTAZINOL                   CHEMBL1477274,CHEMBL314437                       MEPTAZINOL HYDROCHLO,MEPTAZINOL                                           1.137,0.2466   9.01    14.39  CCC1(c2cccc(O)c2)CCCCN(C)C1                                                                                                                                                                   
HT   418413   CHEMBL253371   ALVERINE                     CHEMBL253371,CHEMBL1408594                       ALVERINE,ALVERINE CITRATE SAL,ALVERINE CITRATE                            0.3515,0.7629  9.025   12.95  CCN(CCCc1ccccc1)CCCc1ccccc1                                                                                                                                                                   
ET   334337   CHEMBL1397     POSACONAZOLE                 CHEMBL1397,CHEMBL4303216                         POSACONAZOLE,POSACONAZOLE HYDRATE                                         106.34,0.639   9.26    18.23  CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O                                                                                       
HT   67010    CHEMBL865      VALDECOXIB                   CHEMBL865                                        VALDECOXIB                                                                0.8827,0.2792  9.265   9.35   Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1                                                                                                                                                      
ET   801908   CHEMBL1378024  PROTIONAMIDE                 CHEMBL1378024                                    PROTHIONAMIDE,PROTHIONAMIDE (PROTI,PROTIONAMIDE                           1.136,30.32    9.37    15.04  CCCc1cc(C(N)=S)ccn1                                                                                                                                                                           
ET   111482   CHEMBL1002     LEVOSALBUTAMOL               CHEMBL1201061,CHEMBL1002                         LEVALBUTEROL HYDROCH,LEVALBUTEROL                                         1.311,25.28    9.485   17.38  CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1                                                                                                                                                             
ET   182814   CHEMBL325109   CLEBOPRIDE                   CHEMBL1599248,CHEMBL325109                       CLEBOPRIDE MALEATE,CLEBOPRIDE                                             1.002,34.54    9.52    13.1   COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1                                                                                                                                                    
ET   896859   CHEMBL1472975  PEROSPIRONE                  CHEMBL1713496,CHEMBL1472975                      PEROSPIRONE HYDROCHL,PEROSPIRONE                                          0.8356,47.19   9.78    10.63  O=C1[C@H]2CCCC[C@H]2C(=O)N1CCCCN1CCN(c2nsc3ccccc23)CC1                                                                                                                                        
EH   1377987  CHEMBL2105717  CABOZANTINIB                 CHEMBL2105717                                    CABOZANTINIB                                                              0.3291,31.71   10.015  14.31  COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC                                                                                                                                 
ET   8130     CHEMBL495      ALPROSTADIL                  CHEMBL495                                        ALPROSTADIL                                                               1.06,28.19     10.24   15.86  CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O                                                                                                                                     
HT   66311    CHEMBL43064    CINNARIZINE                  CHEMBL43064                                      CINNARIZINE,CINNARAZINE                                                   0.3702,0.6874  10.275  16.12  C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1                                                                                                                                                 
ET   210024   CHEMBL127508   AZACYCLONOL                  CHEMBL127508                                     AZACYCLONOL                                                               0.8837,38.46   10.32   11.53  OC(c1ccccc1)(c1ccccc1)C1CCNCC1                                                                                                                                                                
ET   2080     CHEMBL36       PYRIMETHAMINE                CHEMBL36                                         PYRIMETHAMINE                                                             0.7421,57.63   10.385  13.87  CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1                                                                                                                                                                 
HT   499440   CHEMBL489411   AMOROLFINE                   CHEMBL489411,CHEMBL4303363                       AMOROLFINE,AMOROLFINE HYDROCHLO                                           0.3007,0.7606  10.385  13.14  CCC(C)(C)c1ccc(CC(C)CN2C[C@H](C)O[C@H](C)C2)cc1                                                                                                                                               
EH   694860   CHEMBL1232510  SOLITHROMYCIN                CHEMBL1232510                                    SOLITHROMYCIN                                                             0.6032,20.79   10.405  20.07  CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cc(-c4cccc(N)c4)nn3)C(=O)O[C@]12C                          
ET   674816   CHEMBL1200865  LOTEPREDNOL ETABONATE        CHEMBL1200865                                    LOTEPREDNOL ETABONAT                                                      102.5,0.5857   10.435  20.21  CCOC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C                                                                                                        
EH   374719   CHEMBL223228   EFAVIRENZ                    CHEMBL223228                                     EFAVIRENZ                                                                 0.3102,32.07   10.59   14.17  O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1                                                                                                                                                  
ET   175106   CHEMBL1138     EZETIMIBE                    CHEMBL1138                                       EZETIMIBE                                                                 0.873,35.64    11.05   12.65  O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1                                                                                                                              
ET   316208   CHEMBL370753   OPIPRAMOL                    CHEMBL1524185                                    OPIPRAMOL DIHYDROCHL,OPIPRAMOL                                            1.052,25.43    11.09   17.29  OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1                                                                                                                                                        
ET   419448   CHEMBL1498     DESOXYCORTICOSTERONE         CHEMBL1498                                       DEOXYCORTICOSTERONE,DESOXYCORTONE                                         0.868,35.45    11.19   12.67  C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO                                                                                                                           
EH   716009   CHEMBL1289601  LENVATINIB                   CHEMBL1289601                                    LENVATINIB,E7080 (LENVATINIB)                                             0.3778,23.46   11.195  18.39  COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O                                                                                                                                           
ET   249414   CHEMBL1274     NILUTAMIDE                   CHEMBL1274                                       NILUTAMIDE                                                                0.7276,49.08   11.26   14.13  CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O                                                                                                                                           
EH   33664    CHEMBL708      ZIPRASIDONE                  CHEMBL708,CHEMBL1375743,CHEMBL1712               ZIPRASIDONE,ZIPRASIDONE HYDROCHL,ZIPRASIDONE  HYDROCH                     0.2424,53.42   11.33   15.01  O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1                                                                                                                                                
ET   33373    CHEMBL707      DOXAZOSIN                    CHEMBL1200561,CHEMBL707                          DOXAZOSIN MESYLATE,DOXAZOSIN                                              0.8189,38.78   11.335  11.44  COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC                                                                                                                                          
HT   182928   CHEMBL110691   CHLORMADINONE ACETATE        CHEMBL110691                                     CHLORMADINONE ACETAT,CHLORMADINONE-ACETAT                                 0.8914,0.249   11.34   13.96  CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C                                                                                                                 
ET   139281   CHEMBL1072     BUMETANIDE                   CHEMBL1072                                       BUMETANIDE                                                                87.45,0.6007   11.345  19.55  CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1                                                                                                                                                    
HT   250908   CHEMBL1282     IMIQUIMOD                    CHEMBL1282                                       IMIQUIMOD,IMIQUIMOD HYDROCHLOR                                            0.3174,0.6799  11.605  16.51  CC(C)Cn1cnc2c(N)nc3ccccc3c21                                                                                                                                                                  
HT   865845   CHEMBL1441961  SOFALCONE                    CHEMBL1441961                                    SOFALCONE                                                                 0.2677,0.7778  11.715  12.48  CC(C)=CCOc1ccc(/C=C/C(=O)c2ccc(OCC=C(C)C)cc2OCC(=O)O)cc1                                                                                                                                      
HT   418482   CHEMBL1492     DIPHENYLPYRALINE             CHEMBL1564,CHEMBL1492                            DIPHENYLPYRALINE HYD,DIPHENYLPYRALINE                                     0.8198,0.2582  11.73   12.3   CN1CCC(OC(c2ccccc2)c2ccccc2)CC1                                                                                                                                                               
HT   19278    CHEMBL588      FENOLDOPAM                   CHEMBL588,CHEMBL1026                             FENOLDOPAM,FENOLDOPAM MESYLATE                                            1.078,0.226    11.75   19.07  Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1                                                                                                                                                            
HT   373953   CHEMBL224325   CHLORQUINALDOL               CHEMBL224325                                     CHLORQUINALDOL                                                            0.2863,0.7109  11.96   15.06  Cc1ccc2c(Cl)cc(Cl)c(O)c2n1                                                                                                                                                                    
ET   7289     CHEMBL273264   NAFAMOSTAT                   CHEMBL3989553                                    NAFAMOSTAT MESYLATE                                                       89.78,0.5678   12.0    21.2   N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1                                                                                                                                                 
HT   495572   CHEMBL1657     TAZAROTENE                   CHEMBL1657                                       TAZAROTENE,TAZAROTENE (AVAGE)                                             0.9001,0.2393  12.04   15.56  CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1                                                                                                                                                   
EH   598444   CHEMBL590799   CAMOSTAT                     CHEMBL85164,CHEMBL590799                         CAMOSTAT MESILATE (F,CAMOSTAT,CAMOSTAT MESYLATE                           86.9,0.2137    12.32   21.4   CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1                                                                                                                                           
EH   598323   CHEMBL589583   DELAPRIL                     CHEMBL589583,CHEMBL2106126                       DELAPRIL,DELAPRIL HYDROCHLORI,DELAPRIL HCL                                0.293,26.34    12.455  16.73  CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N(CC(=O)O)C1Cc2ccccc2C1                                                                                                                               
EH   878830   CHEMBL1454946  FLUBENDAZOLE                 CHEMBL1454946                                    FLUBENDAZOLE,FLUBENDAZOL                                                  0.2556,35.37   12.79   12.85  COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1                                                                                                                                                    
EH   1379801  CHEMBL2107531  STEPRONIN                    CHEMBL2107531                                    STEPRONIN                                                                 0.2404,42.06   12.86   15.31  CC(SC(=O)c1cccs1)C(=O)NCC(=O)O                                                                                                                                                                
EH   443153   CHEMBL446060   PROPOXUR                     CHEMBL446060                                     PROPOXUR                                                                  0.2239,61.15   12.88   19.43  CNC(=O)Oc1ccccc1OC(C)C                                                                                                                                                                        
EH   150806   CHEMBL92870    LIDOFLAZINE                  CHEMBL92870                                      LIDOFLAZINE                                                               95.92,0.2006   12.885  24.17  Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1                                                                                                                                     
ET   44648    CHEMBL33720    OXEDRINE                     CHEMBL33720                                      SYNEPHRINE,OXEDRINE                                                       0.9175,24.21   12.995  17.93  CNCC(O)c1ccc(O)cc1                                                                                                                                                                            
ET   675213   CHEMBL1201262  DIPIVEFRIN                   CHEMBL1200833,CHEMBL1201262                      DIPIVEFRIN HYDROCHLO,DIPIVEFRINE                                          1.01,20.34     13.05   20.42  CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1                                                                                                                                               
ET   408842   CHEMBL191      LOSARTAN                     CHEMBL191,CHEMBL995                              LOSARTAN                                                                  0.8591,26.41   13.285  16.66  CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1                                                                                                                                            
EH   88800    CHEMBL56564    TROPISETRON                  CHEMBL56564,CHEMBL2130744                        TROPISETRON                                                               0.2296,47.33   13.285  17.71  CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1c[nH]c3ccccc13)C2                                                                                                                                            
EH   52087    CHEMBL806      FLUTAMIDE                    CHEMBL806                                        FLUTAMIDE                                                                 0.2322,44.86   13.295  16.91  CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1                                                                                                                                                   
HT   924160   CHEMBL1500276  OXELADIN                     CHEMBL2354637,CHEMBL1500276                      OXELADIN CITRATE,OXELADIN,OXELAIDIN CITRATE                               0.7433,0.254   13.42   13.8   CCN(CC)CCOCCOC(=O)C(CC)(CC)c1ccccc1                                                                                                                                                           
EH   229088   CHEMBL136497   IRSOGLADINE                  CHEMBL136497,CHEMBL1712923                       IRSOGLADINE,IRSOGLADINE MALEATE                                           0.4068,15.98   13.47   23.74  Nc1nc(N)nc(-c2cc(Cl)ccc2Cl)n1                                                                                                                                                                 
EH   674920   CHEMBL1200969  DUTASTERIDE                  CHEMBL1200969                                    DUTASTERIDE                                                               0.3162,20.64   13.47   20.17  C[C@]12CC[C@H]3[C@@H](CC[C@H]4NC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2C(=O)Nc1cc(C(F)(F)F)ccc1C(F)(F)F                                                                                               
EH   699372   CHEMBL1237021  LURASIDONE                   CHEMBL1237021,CHEMBL1615372                      LURASIDONE,LURASIDONE HCL                                                 0.4322,15.61   13.475  24.06  O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(c2nsc3ccccc23)CC1                                                                                                          
HT   912049   CHEMBL1488165  PIDOTIMOD                    CHEMBL1488165                                    PIDOTIMOD                                                                 0.7639,0.2479  13.545  14.21  O=C1CC[C@@H](C(=O)N2CSC[C@H]2C(=O)O)N1                                                                                                                                                        
HT   152819   CHEMBL94454    MIZOLASTINE                  CHEMBL94454                                      MIZOLASTINE,MIZOLASTINE (MIZOLLE                                          0.2642,0.6881  13.745  16.05  CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1                                                                                                                                        
ET   33870    CHEMBL25236    BP-897                       CHEMBL540612,CHEMBL4303149                       BP-897,DO 897/99                                                          72.76,0.5362   13.85   22.66  COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1                                                                                                                                                  
ET   43952    CHEMBL772      RESERPINE                    CHEMBL772                                        RESERPINE                                                                 0.5543,64.21   14.015  21.93  COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC                                                                                        
EH   706025   CHEMBL1257030  LONIDAMINE                   CHEMBL1257030                                    LONIDAMINE                                                                0.2694,25.22   14.075  17.45  O=C(O)c1nn(Cc2ccc(Cl)cc2Cl)c2ccccc12                                                                                                                                                          
ET   1591998  CHEMBL3039178                               CHEMBL3039178                                    QUININE ETHYL CARBON                                                      0.6435,42.85   14.075  18.03  C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](OC(=O)OCC)c1ccnc2ccc(OC)cc12                                                                                                                               
HT   660560   CHEMBL1186610  ANISOTROPINE                 CHEMBL1578                                       ANISOTROPINE METHYLB                                                      0.7237,0.2494  14.15   14.4   CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C                                                                                                                                            
ET   66238    CHEMBL46516    FLUSPIRILENE                 CHEMBL46516                                      FLUSPIRILEN,FLUSPIRILENE                                                  0.6416,42.19   14.225  18.1   O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2                                                                                                                                      
EH   33576    CHEMBL24828    VANDETANIB                   CHEMBL24828                                      VANDETANIB,VANDETANIB (ZD6474)                                            0.2198,51.24   14.25   20.48  COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1                                                                                                                                                 
HT   899906   CHEMBL1476022  NOMEGESTROL ACETATE          CHEMBL1476022                                    NOMEGESTROL-ACETATE,NOMEGESTROL ACETATE                                   0.2782,0.6186  14.275  19.02  CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C                                                                                                                   
